seed,terrain_key,terrain,objective,status,score,grade,economy,transport,environment,housing,urban_form,base_1000,fit_bonus,event_score,difficulty,spent,budget,reasons
1,lake_core,Lake Core,Financial Capital,OK,854.6,A,195.3,144.4,153.2,91.6,141.6,726.2,87.7,0.0,1.05,2555674,5421000,
1,lake_core,Lake Core,Logistics Hub,OK,862.8,A,192.7,147.1,142.7,113.5,125.8,721.7,100.0,0.0,1.05,2717679,5421000,
1,lake_core,Lake Core,Innovation City,OK,887.0,A,193.5,145.7,154.3,111.9,124.7,730.0,79.8,35.0,1.05,2573224,5421000,
1,lake_core,Lake Core,Tourism Capital,OK,834.3,B,191.8,144.7,155.1,122.2,134.8,748.5,46.1,0.0,1.05,2314339,5421000,
1,lake_core,Lake Core,Eco Metropolis,OK,908.9,A,172.5,140.5,177.2,142.2,115.0,747.3,83.4,35.0,1.05,2264189,5421000,
1,twin_coast,Coastal Bay,Financial Capital,OK,777.5,B,200.0,131.5,130.0,104.7,95.3,661.4,96.3,-50.9,1.1,2555575,3567000,
1,twin_coast,Coastal Bay,Logistics Hub,OK,879.8,A,200.0,132.5,119.6,127.0,81.6,660.7,100.0,39.1,1.1,2737564,3567000,
1,twin_coast,Coastal Bay,Innovation City,OK,771.2,B,200.0,134.0,130.9,125.0,83.3,673.1,78.9,-50.9,1.1,2568125,3567000,
1,twin_coast,Coastal Bay,Tourism Capital,OK,799.0,B,200.0,135.1,119.1,133.7,94.8,682.7,44.5,-0.9,1.1,2334339,3567000,
1,twin_coast,Coastal Bay,Eco Metropolis,OK,801.2,B,200.0,128.6,115.5,150.6,72.9,667.7,71.5,-10.9,1.1,2259189,3567000,
1,mountain_gate,Mountain Basin,Financial Capital,OK,998.9,S,195.3,140.8,136.1,91.2,126.7,690.2,86.4,-36.6,1.35,2558203,5239200,
1,mountain_gate,Mountain Basin,Logistics Hub,OK,1005.1,S,194.5,140.4,126.0,112.3,108.0,681.2,100.0,-36.6,1.35,2720592,5239200,
1,mountain_gate,Mountain Basin,Innovation City,OK,996.8,S,195.3,142.0,137.3,112.0,109.8,696.4,78.6,-36.6,1.35,2570753,5239200,
1,mountain_gate,Mountain Basin,Tourism Capital,OK,984.3,S,194.7,142.3,138.9,122.2,122.7,720.8,45.0,-36.6,1.35,2314339,5239200,
1,mountain_gate,Mountain Basin,Eco Metropolis,OK,1023.9,S,176.4,133.4,162.5,144.0,99.7,716.0,79.0,-36.6,1.35,2259189,5239200,
1,great_delta,River Delta,Financial Capital,OK,928.4,A,178.5,128.8,114.4,98.5,118.1,638.3,75.6,0.3,1.3,2555628,4362800,
1,great_delta,River Delta,Logistics Hub,OK,1027.0,S,197.2,137.9,103.8,122.1,116.2,677.1,100.0,12.9,1.3,2737625,4362800,
1,great_delta,River Delta,Innovation City,OK,1024.7,S,195.3,133.2,115.5,119.3,113.8,677.0,78.0,33.2,1.3,2573178,4362800,
1,great_delta,River Delta,Tourism Capital,OK,994.7,S,199.7,129.3,101.0,129.8,113.4,673.1,43.7,48.2,1.3,2334339,4362800,
1,great_delta,River Delta,Eco Metropolis,OK,974.2,S,199.3,101.8,131.5,150.0,63.1,645.8,70.4,33.2,1.3,2264189,4362800,
1,central_plain,Great Plain,Financial Capital,OK,730.3,B,177.7,142.2,145.7,88.5,136.4,690.4,76.3,2.0,0.95,2555524,5751200,
1,central_plain,Great Plain,Logistics Hub,OK,802.5,B,183.7,145.3,136.6,111.2,131.5,708.3,100.0,36.5,0.95,2717504,5751200,
1,central_plain,Great Plain,Innovation City,OK,757.0,B,184.5,143.8,147.7,109.0,131.0,716.0,78.9,2.0,0.95,2573074,5751200,
1,central_plain,Great Plain,Tourism Capital,OK,744.8,B,184.0,144.1,148.6,119.1,140.2,735.9,46.0,2.0,0.95,2314339,5751200,
1,central_plain,Great Plain,Eco Metropolis,OK,845.3,B,166.0,140.7,171.5,139.4,127.1,744.7,81.1,64.0,0.95,2264189,5751200,
2,lake_core,Lake Core,Financial Capital,OK,750.4,B,195.3,122.5,137.3,91.6,88.3,635.0,87.0,-7.3,1.05,2555543,5385800,
2,lake_core,Lake Core,Logistics Hub,OK,764.7,B,193.0,128.3,127.2,114.5,72.5,635.5,100.0,-7.3,1.05,2717526,5385800,
2,lake_core,Lake Core,Innovation City,OK,778.4,B,193.8,122.1,137.9,111.2,69.4,634.4,79.2,27.7,1.05,2573093,5385800,
2,lake_core,Lake Core,Tourism Capital,OK,731.8,B,192.6,122.3,139.5,121.4,83.0,658.9,45.3,-7.3,1.05,2314339,5385800,
2,lake_core,Lake Core,Eco Metropolis,OK,813.1,B,173.2,112.9,161.3,142.5,58.2,648.2,71.2,55.0,1.05,2264189,5385800,
2,twin_coast,Coastal Bay,Financial Capital,OK,903.3,A,200.0,146.2,138.8,102.8,134.9,722.8,98.4,0.0,1.1,2555448,4419200,
2,twin_coast,Coastal Bay,Logistics Hub,OK,1003.1,S,197.2,148.6,129.3,124.5,122.4,721.9,100.0,90.0,1.1,2737415,4419200,
2,twin_coast,Coastal Bay,Innovation City,OK,887.3,A,195.3,146.8,139.8,122.7,121.1,725.7,81.0,0.0,1.1,2567998,4419200,
2,twin_coast,Coastal Bay,Tourism Capital,OK,906.6,A,199.7,142.4,127.3,132.2,127.0,728.6,45.6,50.0,1.1,2334339,4419200,
2,twin_coast,Coastal Bay,Eco Metropolis,OK,934.2,A,198.0,141.5,122.1,153.6,114.7,729.9,79.3,40.0,1.1,2259189,4419200,
2,mountain_gate,Mountain Basin,Financial Capital,OK,917.7,A,178.5,108.6,138.3,91.5,86.4,603.4,76.4,0.0,1.35,2555460,5239200,
2,mountain_gate,Mountain Basin,Logistics Hub,OK,1087.6,S,191.7,133.5,128.0,113.0,99.4,665.7,100.0,40.0,1.35,2717428,5239200,
