terrain_key,terrain,objective,status,score,grade,economy,transport,environment,housing,urban_form,base_1000,fit_bonus,event_score,difficulty,spent,budget,reasons
lake_core,Lake Core,Financial Capital,OK,814.0,B,195.3,146.1,138.9,92.7,134.1,707.1,87.9,-19.7,1.05,2555481,5321400,
lake_core,Lake Core,Logistics Hub,OK,821.0,B,193.7,147.7,129.3,114.1,117.0,701.6,100.0,-19.7,1.05,2717454,5321400,
lake_core,Lake Core,Innovation City,OK,846.6,B,194.5,147.3,140.1,112.0,117.1,711.0,80.1,15.3,1.05,2573031,5321400,
lake_core,Lake Core,Tourism Capital,OK,797.0,B,193.8,147.5,141.0,122.2,129.0,733.5,45.3,-19.7,1.05,2314339,5321400,
lake_core,Lake Core,Eco Metropolis,OK,873.6,A,174.6,142.4,163.8,142.4,111.9,735.1,81.6,15.3,1.05,2264189,5321400,
twin_coast,Coastal Bay,Financial Capital,OK,829.3,B,178.5,141.8,129.8,96.1,130.9,677.0,76.9,0.0,1.1,2555448,4888000,
twin_coast,Coastal Bay,Logistics Hub,OK,978.6,S,195.6,143.4,119.6,117.1,124.0,699.6,100.0,90.0,1.1,2737415,4888000,
twin_coast,Coastal Bay,Innovation City,OK,867.0,A,194.6,143.6,130.7,115.6,124.3,708.7,79.5,0.0,1.1,2567998,4888000,
twin_coast,Coastal Bay,Tourism Capital,OK,895.1,A,198.3,143.2,118.5,126.3,132.2,718.6,45.2,50.0,1.1,2334339,4888000,
twin_coast,Coastal Bay,Eco Metropolis,OK,906.8,A,184.8,140.4,113.3,147.6,118.4,704.5,79.9,40.0,1.1,2259189,4888000,
mountain_gate,Mountain Basin,Financial Capital,OK,978.2,S,178.5,144.1,135.3,94.4,94.6,647.0,77.6,0.0,1.35,2555467,5243400,
mountain_gate,Mountain Basin,Logistics Hub,OK,1104.5,S,191.7,145.5,125.3,113.8,101.9,678.2,100.0,40.0,1.35,2717437,5243400,
mountain_gate,Mountain Basin,Innovation City,OK,1038.5,S,190.6,147.0,136.4,112.8,102.5,689.2,80.1,0.0,1.35,2568017,5243400,
mountain_gate,Mountain Basin,Tourism Capital,OK,1013.4,S,194.4,140.8,137.3,124.2,107.5,704.1,46.6,0.0,1.35,2314339,5243400,
mountain_gate,Mountain Basin,Eco Metropolis,OK,1096.0,S,176.3,132.6,159.2,144.6,88.2,700.9,70.9,40.0,1.35,2259189,5243400,
great_delta,River Delta,Financial Capital,OK,962.1,S,178.5,139.4,136.2,101.1,126.8,682.1,77.0,-19.0,1.3,2555454,4619400,
great_delta,River Delta,Logistics Hub,OK,1095.8,S,197.2,144.6,125.4,122.1,122.5,711.9,100.0,31.0,1.3,2737422,4619400,
great_delta,River Delta,Innovation City,OK,1050.3,S,195.3,140.2,137.2,120.0,119.7,712.4,79.5,16.0,1.3,2573004,4619400,
great_delta,River Delta,Tourism Capital,OK,1019.6,S,199.7,138.7,124.7,130.7,113.1,706.9,46.4,31.0,1.3,2334339,4619400,
great_delta,River Delta,Eco Metropolis,OK,1097.6,S,192.0,136.4,158.5,150.7,111.9,749.5,78.8,16.0,1.3,2264189,4619400,
central_plain,Great Plain,Financial Capital,OK,696.4,C,177.7,140.3,129.6,88.8,119.0,655.3,77.8,0.0,0.95,2555449,5751800,
central_plain,Great Plain,Logistics Hub,OK,768.7,B,183.7,142.4,119.8,110.6,112.7,669.2,100.0,40.0,0.95,2717417,5751800,
central_plain,Great Plain,Innovation City,OK,720.1,B,184.5,141.7,130.5,109.2,111.9,677.7,80.4,0.0,0.95,2572999,5751800,
central_plain,Great Plain,Tourism Capital,OK,703.1,C,183.9,139.9,131.8,119.1,119.7,694.5,45.6,0.0,0.95,2314339,5751800,
central_plain,Great Plain,Eco Metropolis,OK,779.1,B,166.0,137.0,153.5,138.6,107.0,702.0,78.1,40.0,0.95,2264189,5751800,
